name,ttm,12/31/20,9/30/20,6/30/20,3/31/20,12/31/19,9/30/19,6/30/19,3/31/19,12/31/18,9/30/18,6/30/18,3/31/18,12/31/17,9/30/17,6/30/17,3/31/17,12/31/16,9/30/16,6/30/16,3/31/16,12/31/15,9/30/15,6/30/15,3/31/15,12/31/14,9/30/14,6/30/14,3/31/14,12/31/13,9/30/13,6/30/13,3/31/13,12/31/12,9/30/12,6/30/12,3/31/12,12/31/11,9/30/11,6/30/11,3/31/11,12/31/10,9/30/10,6/30/10,3/31/10,12/31/09,9/30/09,6/30/09,3/31/09,12/31/08,9/30/08,6/30/08,3/31/08,12/31/07,9/30/07,6/30/07,3/31/07,12/31/06,9/30/06,6/30/06,3/31/06,12/31/05,9/30/05,6/30/05,3/31/05,12/31/04,9/30/04,6/30/04,3/31/04,12/31/03,9/30/03,6/30/03,3/31/03,12/31/02,9/30/02,6/30/02,3/31/02,12/31/01,9/30/01,6/30/01,3/31/01,12/31/00,9/30/00,6/30/00,3/31/00,12/31/99,9/30/99,6/30/99,3/31/99,12/31/98,9/30/98,6/30/98,3/31/98,12/31/97,9/30/97,6/30/97,3/31/97,12/31/96,9/30/96,6/30/96,3/31/96,12/31/95,9/30/95,6/30/95,3/31/95,12/31/94,9/30/94,6/30/94,3/31/94,12/31/93,9/30/93,6/30/93,3/31/93,12/31/92,9/30/92,6/30/92,3/31/92,12/31/91,9/30/91,6/30/91,3/31/91,12/31/90,9/30/90,6/30/90,3/31/90,12/31/89,9/30/89,6/30/89,3/31/89,12/31/88,9/30/88,6/30/88,3/31/88,12/31/87,9/30/87,6/30/87,3/31/87,12/31/86,9/30/86,6/30/86,3/31/86,12/31/85,9/30/85
TotalRevenue,"60,760,000,000","16,249,000,000","14,707,000,000","11,779,000,000","18,009,000,000","20,858,000,000","19,100,000,000","20,245,000,000","14,922,000,000","15,303,000,000","14,307,000,000","15,228,000,000","14,548,000,000","15,351,000,000","12,779,000,000","14,238,000,000","13,336,000,000","14,784,000,000","13,142,000,000","14,277,000,000","12,969,000,000","15,244,000,000","13,512,000,000","13,101,000,000","12,461,000,000","13,391,000,000","12,389,000,000","12,466,000,000","11,649,000,000","12,309,000,000","11,568,000,000","11,578,000,000","10,554,000,000","11,341,000,000","10,782,000,000","11,088,000,000","9,629,000,000","10,779,000,000","10,425,000,000","10,675,000,000","9,077,000,000","10,716,000,000","9,742,000,000","10,002,000,000","8,580,000,000","9,739,000,000","9,867,000,000","8,596,000,000","8,087,000,000","9,599,000,000","9,445,000,000","9,236,000,000","8,710,000,000","10,452,000,000","8,930,000,000","9,045,000,000","8,073,000,000","9,725,000,000","8,784,000,000","8,620,000,000","8,027,000,000","8,854,000,000","7,734,000,000","7,715,000,000","7,829,000,000","8,666,000,000","7,543,000,000","7,471,000,000","7,189,000,000","8,549,000,000","7,088,000,000","6,175,000,000","6,332,000,000","7,466,000,000","6,662,000,000","5,795,000,000","5,904,000,000","7,048,000,000","5,812,000,000","5,975,000,000","6,049,000,000","7,433,000,000","6,116,000,000","6,051,000,000","6,303,000,000","6,932,000,000","5,781,000,000","5,522,000,000","5,510,000,000","6,589,000,000","6,147,000,000","5,248,000,000","5,242,000,000","6,339,000,000","5,520,000,000","5,194,000,000","5,481,000,000","6,278,000,000","5,272,000,000","5,087,000,000","4,543,000,000","3,818,000,000","3,123,600,000","2,764,000,000","2,922,800,000","3,301,700,000","2,698,400,000","2,353,600,000","2,275,800,000","2,727,300,000","2,174,600,000","1,936,800,000","2,026,500,000","2,391,400,000","2,058,800,000","1,853,500,000","1,655,100,000","1,936,600,000","1,739,400,000","1,511,600,000","1,439,000,000","1,492,400,000","1,712,300,000","1,539,500,000","1,303,800,000","1,288,200,000","1,345,200,000","1,167,600,000","1,037,900,000","1,043,600,000","1,028,200,000","930,400,000","789,200,000","749,300,000","782,100,000","621,900,000","766,300,000","755,500,000","726,400,000","647,900,000","592,400,000","504,200,000","590,500,000"
"	OperatingRevenue","60,760,000,000","16,249,000,000","14,707,000,000","11,779,000,000","18,009,000,000","20,858,000,000","19,100,000,000","20,245,000,000","14,922,000,000","15,303,000,000","14,307,000,000","15,228,000,000","14,548,000,000","15,351,000,000","12,779,000,000","14,238,000,000","13,336,000,000","14,784,000,000","13,142,000,000","14,277,000,000","12,969,000,000","15,244,000,000","13,512,000,000","13,101,000,000","12,461,000,000","13,391,000,000","12,389,000,000","12,466,000,000","11,649,000,000","12,309,000,000","11,568,000,000","11,578,000,000","10,554,000,000","11,341,000,000","10,782,000,000","11,088,000,000","9,629,000,000","10,779,000,000","10,425,000,000","10,675,000,000","9,077,000,000","10,716,000,000","9,742,000,000","10,002,000,000","8,580,000,000","9,739,000,000","9,867,000,000","8,596,000,000","8,087,000,000","9,599,000,000","9,445,000,000","9,236,000,000","8,710,000,000","10,452,000,000","8,930,000,000","9,045,000,000","8,073,000,000","9,725,000,000","8,784,000,000","8,620,000,000","8,027,000,000","8,854,000,000","7,734,000,000","7,715,000,000","7,829,000,000","8,666,000,000","7,543,000,000","7,471,000,000","7,189,000,000","8,549,000,000","7,088,000,000","6,175,000,000","6,332,000,000","7,466,000,000","6,662,000,000","5,795,000,000","5,904,000,000","7,048,000,000","5,812,000,000","5,975,000,000","6,049,000,000","7,433,000,000","6,116,000,000","6,051,000,000","6,303,000,000","6,932,000,000","5,781,000,000","5,522,000,000","5,510,000,000","6,589,000,000","6,147,000,000","5,248,000,000","5,242,000,000","6,339,000,000","5,520,000,000","5,194,000,000","5,481,000,000","6,278,000,000","5,272,000,000","5,087,000,000","4,543,000,000","3,818,000,000","3,123,600,000","2,764,000,000","2,922,800,000","3,301,700,000","2,698,400,000","2,353,600,000","2,275,800,000","2,727,300,000","2,174,600,000","1,936,800,000","2,026,500,000","2,391,400,000","2,058,800,000","1,853,500,000","1,655,100,000","1,936,600,000","1,739,400,000","1,511,600,000","1,439,000,000","1,492,400,000","1,712,300,000","1,539,500,000","1,303,800,000","1,288,200,000","1,345,200,000","1,167,600,000","1,037,900,000","1,043,600,000","1,028,200,000","930,400,000","789,200,000","749,300,000","782,100,000","621,900,000","766,300,000","755,500,000","726,400,000","647,900,000","592,400,000","504,200,000","590,500,000"
CostOfRevenue,"42,621,000,000","11,775,000,000","11,013,000,000","7,896,000,000","11,918,000,000","13,016,000,000","11,822,000,000","12,819,000,000","8,376,000,000","9,001,000,000","8,108,000,000","8,348,000,000","7,533,000,000","8,737,000,000","7,214,000,000","7,717,000,000","6,969,000,000","8,406,000,000","7,305,000,000","7,201,000,000","6,864,000,000","8,623,000,000","7,355,000,000","6,663,000,000","6,690,000,000","7,656,000,000","-860,000,000","8,968,000,000","8,668,000,000","9,644,000,000","9,409,000,000","8,574,000,000","8,359,000,000","9,249,000,000","8,758,000,000","8,128,000,000","7,942,000,000","8,587,000,000","8,558,000,000","8,229,000,000","7,549,000,000","8,776,000,000","8,221,000,000","7,723,000,000","7,068,000,000","8,325,000,000","8,272,000,000","6,998,000,000","6,800,000,000","8,382,000,000","7,993,000,000","7,215,000,000","6,812,000,000","8,419,000,000","7,359,000,000","7,022,000,000","6,540,000,000","8,009,000,000","7,441,000,000","6,832,000,000","6,841,000,000","7,693,000,000","7,321,000,000","6,369,000,000","6,655,000,000","7,492,000,000","6,792,000,000","6,375,000,000","6,153,000,000","7,384,000,000","6,315,000,000","5,446,000,000","5,779,000,000","6,790,000,000","6,263,000,000","5,043,000,000","5,299,000,000","6,399,000,000","5,307,000,000","4,947,000,000","5,133,000,000","6,283,000,000","4,559,000,000","4,046,000,000","4,405,000,000","4,880,000,000","4,270,000,000","3,692,000,000","3,839,000,000","4,591,000,000","5,793,000,000","3,052,000,000","3,041,000,000","3,321,000,000","3,372,000,000","2,983,000,000","3,444,000,000","3,404,000,000","3,252,000,000","2,928,000,000","2,874,000,000","2,399,000,000","2,124,900,000","1,785,800,000","1,814,300,000","2,088,400,000","1,768,900,000","1,470,800,000","1,487,900,000","1,753,600,000","1,415,800,000","1,063,500,000","1,400,500,000","1,662,700,000","1,491,000,000","1,093,800,000","1,156,300,000","1,369,400,000","1,183,500,000","989,200,000","1,031,400,000","1,018,900,000","1,153,300,000","991,100,000","875,700,000","859,800,000",,,,,,,,,,,,,,,,,
GrossProfit,"18,139,000,000","4,474,000,000","3,694,000,000","3,883,000,000","6,091,000,000","7,842,000,000","7,278,000,000","7,426,000,000","6,546,000,000","6,302,000,000","6,199,000,000","6,880,000,000","7,015,000,000","6,614,000,000","5,565,000,000","6,521,000,000","6,367,000,000","6,378,000,000","5,837,000,000","7,076,000,000","6,105,000,000","6,621,000,000","6,157,000,000","6,438,000,000","5,771,000,000","5,735,000,000","13,249,000,000","3,498,000,000","2,981,000,000","2,665,000,000","2,159,000,000","3,004,000,000","2,195,000,000","2,092,000,000","2,024,000,000","2,960,000,000","1,687,000,000","2,192,000,000","1,867,000,000","2,446,000,000","1,528,000,000","1,940,000,000","1,521,000,000","2,279,000,000","1,512,000,000","1,414,000,000","1,595,000,000","1,598,000,000","1,287,000,000","1,217,000,000","1,452,000,000","2,021,000,000","1,898,000,000","2,033,000,000","1,571,000,000","2,023,000,000","1,533,000,000","1,716,000,000","1,343,000,000","1,788,000,000","1,186,000,000","1,161,000,000","413,000,000","1,346,000,000","1,174,000,000","1,174,000,000","751,000,000","1,096,000,000","1,036,000,000","1,165,000,000","773,000,000","729,000,000","553,000,000","676,000,000","399,000,000","752,000,000","605,000,000","649,000,000","505,000,000","1,028,000,000","916,000,000","1,150,000,000","1,557,000,000","2,005,000,000","1,898,000,000","2,052,000,000","1,511,000,000","1,830,000,000","1,671,000,000","1,998,000,000","354,000,000","2,196,000,000","2,201,000,000","3,018,000,000","2,148,000,000","2,211,000,000","2,037,000,000","2,874,000,000","2,020,000,000","2,159,000,000","1,669,000,000","1,419,000,000","998,700,000","978,200,000","1,108,500,000","1,213,300,000","929,500,000","882,800,000","787,900,000","973,700,000","758,800,000","873,300,000","626,000,000","728,700,000","567,800,000","759,700,000","498,800,000","567,200,000","555,900,000","522,400,000","407,600,000","473,500,000","559,000,000","548,400,000","428,100,000","428,400,000",,,,,,,,,,,,,,,,,
OperatingExpense,"16,921,000,000","4,215,000,000","4,147,000,000","3,832,000,000","4,721,000,000","5,001,000,000","4,993,000,000","4,666,000,000","3,155,000,000","2,884,000,000","3,116,000,000","2,956,000,000","2,978,000,000","2,821,000,000","2,936,000,000","2,733,000,000","2,617,000,000","2,672,000,000","2,976,000,000","2,931,000,000","2,742,000,000","2,632,000,000","3,009,000,000","2,676,000,000","2,665,000,000","2,527,000,000",,,,,,,,,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,,,,0,0,0,0,0,0,,"4,000,000","2,000,000","7,000,000","5,000,000","7,000,000","9,000,000","2,000,000","3,000,000","145,000,000","145,000,000","184,000,000","293,000,000","1,043,000,000","1,146,000,000","1,452,000,000","1,128,000,000","1,015,000,000","913,000,000","1,027,000,000","1,020,000,000","-336,000,000","1,322,000,000","1,400,000,000","1,604,000,000","1,287,000,000","1,220,000,000","1,281,000,000","1,537,000,000","1,223,000,000","1,269,000,000","1,110,000,000","620,000,000","569,500,000","454,600,000","547,700,000","464,800,000","532,500,000","429,800,000","415,300,000","392,900,000","441,400,000","444,900,000","259,100,000","269,400,000","220,900,000","406,700,000","238,000,000","240,800,000","276,200,000","265,300,000","212,200,000","201,700,000","199,500,000","174,000,000","151,100,000","152,200,000",,,,,,,,,,,,,,,,,
"	SellingGeneralAndAdministration","11,577,000,000","2,917,000,000","2,812,000,000","2,455,000,000","3,388,000,000","3,703,000,000","3,697,000,000","3,362,000,000","2,327,000,000","2,152,000,000","2,322,000,000","2,212,000,000","2,247,000,000","2,079,000,000","2,228,000,000","2,022,000,000","1,941,000,000","1,985,000,000","2,287,000,000","2,305,000,000","2,137,000,000","2,025,000,000","2,406,000,000","2,101,000,000","2,081,000,000","1,935,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"69,000,000","1,000,000","38,000,000","-3,000,000","25,000,000","34,000,000","85,000,000","52,000,000","61,000,000","49,000,000","48,000,000","78,000,000","100,000,000","69,000,000","108,000,000","90,000,000","61,000,000","66,000,000","97,000,000","54,000,000","56,800,000","38,700,000","45,800,000","42,300,000","41,600,000","39,600,000","37,400,000","43,600,000","39,300,000","41,500,000","39,800,000","43,000,000","32,600,000","36,500,000","36,900,000","42,200,000","43,600,000","44,900,000","36,500,000","35,900,000","37,500,000","33,400,000","34,600,000","33,000,000",,,,,,,,,,,,,,,,,
"	DepreciationAmortizationDepletionIncomeStatement","5,344,000,000","1,298,000,000","1,335,000,000","1,377,000,000","1,333,000,000","1,298,000,000","1,296,000,000","1,304,000,000","828,000,000","732,000,000","794,000,000","744,000,000","731,000,000","742,000,000","708,000,000","711,000,000","676,000,000","687,000,000","689,000,000","626,000,000","605,000,000","607,000,000","603,000,000","575,000,000","584,000,000","592,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,000,000","2,000,000","7,000,000","5,000,000","7,000,000","9,000,000","2,000,000","3,000,000","145,000,000","145,000,000","184,000,000","293,000,000","974,000,000","1,145,000,000","1,414,000,000","1,131,000,000","990,000,000","879,000,000","942,000,000","968,000,000","-397,000,000","1,273,000,000","1,352,000,000","1,526,000,000","1,187,000,000","1,151,000,000","1,173,000,000","1,447,000,000","1,162,000,000","1,203,000,000","1,013,000,000","566,000,000","512,700,000","415,900,000","501,900,000","422,500,000","490,900,000","390,200,000","377,900,000","349,300,000","402,100,000","403,400,000","219,300,000","226,400,000","188,300,000","370,200,000","201,100,000","198,600,000","232,600,000","220,400,000","175,700,000","165,800,000","162,000,000","140,600,000","116,500,000","119,200,000",,,,,,,,,,,,,,,,,
"		DepreciationAndAmortizationInIncomeStatement","5,344,000,000","1,298,000,000","1,335,000,000","1,377,000,000","1,333,000,000","1,298,000,000","1,296,000,000","1,304,000,000","828,000,000","732,000,000","794,000,000","744,000,000","731,000,000","742,000,000","708,000,000","711,000,000","676,000,000","687,000,000","689,000,000","626,000,000","605,000,000","607,000,000","603,000,000","575,000,000","584,000,000","592,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,000,000","2,000,000","7,000,000","5,000,000","7,000,000","9,000,000","2,000,000","3,000,000","145,000,000","145,000,000","184,000,000","293,000,000","974,000,000","1,145,000,000","1,414,000,000","1,131,000,000","990,000,000","879,000,000","942,000,000","968,000,000","-397,000,000","1,273,000,000","1,352,000,000","1,526,000,000","1,187,000,000","1,151,000,000","1,173,000,000","1,447,000,000","1,162,000,000","1,203,000,000","1,013,000,000","566,000,000","512,700,000","415,900,000","501,900,000","422,500,000","490,900,000","390,200,000","377,900,000","349,300,000","402,100,000","403,400,000","219,300,000","226,400,000","188,300,000","370,200,000","201,100,000","198,600,000","232,600,000","220,400,000","175,700,000","165,800,000","162,000,000","140,600,000","116,500,000","119,200,000",,,,,,,,,,,,,,,,,
"			Amortization",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,000,000","2,000,000","7,000,000","5,000,000","7,000,000","9,000,000","2,000,000","3,000,000","145,000,000","145,000,000","184,000,000","293,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"				AmortizationOfIntangiblesIncomeStatement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,000,000","2,000,000","7,000,000","5,000,000","7,000,000","9,000,000","2,000,000","3,000,000","145,000,000","145,000,000","184,000,000","293,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
