name,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,09/30/1988,09/30/1987,09/30/1986,09/30/1985
TotalAssets,"201,888,000,000","201,549,000,000","207,649,000,000","206,294,000,000","200,948,000,000","193,984,000,000","209,475,000,000","214,342,000,000","99,941,000,000","98,598,000,000","98,792,000,000","97,943,000,000","97,734,000,000","95,789,000,000","92,752,000,000","91,807,000,000","91,576,000,000","92,033,000,000","90,914,000,000","90,264,000,000","90,121,000,000","88,182,000,000","87,367,000,000","85,715,000,000","87,035,000,000","84,186,000,000","83,723,000,000","82,580,000,000","83,166,000,000","81,241,000,000","80,565,000,000","81,358,000,000","80,642,000,000","74,898,000,000","75,291,000,000","75,233,000,000","73,877,000,000","72,124,000,000","71,105,000,000","70,588,000,000","70,950,000,000","69,206,000,000","68,305,000,000","68,760,000,000","69,314,000,000","63,117,000,000","62,584,000,000","63,032,000,000","64,901,000,000","62,497,000,000","61,582,000,000","62,291,000,000","62,772,000,000","60,928,000,000","59,667,000,000","59,605,000,000","60,993,000,000","59,998,000,000","59,357,000,000","53,624,000,000","53,667,000,000","53,158,000,000","53,892,000,000","55,047,000,000","55,449,000,000","53,902,000,000","54,561,000,000","55,096,000,000","51,520,000,000","49,988,000,000","50,006,000,000","50,756,000,000","50,876,000,000","50,045,000,000","50,223,000,000","50,480,000,000","50,462,000,000","43,699,000,000","45,872,000,000","44,457,000,000","45,802,000,000","45,027,000,000","44,777,000,000","45,583,000,000","46,373,000,000","43,679,000,000","43,244,000,000","43,474,000,000","43,537,000,000","41,378,000,000","40,036,000,000","39,317,000,000","39,944,000,000","37,776,000,000","38,300,000,000","39,137,000,000","38,677,000,000","37,306,000,000","36,578,000,000","36,767,000,000","15,276,000,000","14,605,800,000","14,381,300,000","14,048,200,000","13,805,000,000","12,826,300,000","12,659,900,000","12,822,200,000","12,600,300,000","11,751,100,000","11,086,500,000","11,519,500,000","11,986,400,000","10,861,700,000","10,398,600,000","10,203,500,000","10,326,800,000","9,428,500,000","8,907,500,000","8,370,200,000","8,567,800,000","8,022,300,000","8,013,600,000","6,892,900,000","6,883,100,000","6,657,200,000","5,108,900,000","3,806,300,000","3,121,000,000","2,897,300,000"
	CurrentAssets,"34,874,000,000","35,251,000,000","41,330,000,000","33,274,000,000","27,776,000,000","28,124,000,000","31,370,000,000","34,277,000,000","17,537,000,000","16,825,000,000","17,729,000,000","16,808,000,000","17,274,000,000","15,889,000,000","17,151,000,000","16,270,000,000","16,665,000,000","16,966,000,000","17,617,000,000","16,999,000,000","17,768,000,000","16,758,000,000","16,512,000,000","15,646,000,000","17,240,000,000","15,176,000,000","15,205,000,000","15,046,000,000","15,763,000,000","14,109,000,000","14,205,000,000","15,003,000,000","14,322,000,000","13,709,000,000","14,754,000,000","14,537,000,000","15,060,000,000","13,757,000,000","13,643,000,000","13,220,000,000","13,994,000,000","12,225,000,000","12,601,000,000","12,487,000,000","12,945,000,000","11,889,000,000","11,499,000,000","11,977,000,000","13,472,000,000","11,666,000,000","11,243,000,000","12,396,000,000","13,268,000,000","11,314,000,000","10,818,000,000","9,514,000,000","11,115,000,000","9,562,000,000","9,165,000,000","9,663,000,000","9,810,000,000","8,845,000,000","9,508,000,000","10,182,000,000","10,378,000,000","9,369,000,000","10,167,000,000","10,748,000,000","10,076,000,000","8,314,000,000","7,968,000,000","8,665,000,000","8,734,000,000","7,849,000,000","8,892,000,000","9,540,000,000","9,265,000,000","7,029,000,000","9,464,000,000","8,111,000,000","8,911,000,000","10,007,000,000","10,234,000,000","10,944,000,000","11,752,000,000","10,200,000,000","9,782,000,000","10,326,000,000","10,794,000,000","9,375,000,000","12,550,000,000","12,222,000,000","13,012,000,000","11,283,000,000","10,772,000,000","9,903,000,000","10,277,000,000","8,938,000,000","8,317,000,000","8,654,000,000","7,108,000,000","6,659,000,000","6,566,700,000","6,256,300,000","6,440,100,000","5,445,100,000","4,502,800,000","4,814,400,000","4,743,800,000","5,611,600,000","4,733,600,000","5,223,000,000","4,796,600,000","4,694,000,000","3,554,000,000","3,110,000,000","3,312,900,000","3,108,300,000","2,967,000,000","2,570,100,000","2,776,100,000","2,528,600,000","2,918,700,000","2,051,800,000","2,227,300,000","2,175,900,000","0","0","0","0"
		CashCashEquivalentsAndShortTermInvestments,"17,068,000,000","17,914,000,000","23,115,000,000","14,339,000,000","6,833,000,000","5,418,000,000","6,728,000,000","10,108,000,000","4,455,000,000","4,150,000,000","4,326,000,000","4,179,000,000","4,677,000,000","4,017,000,000","4,336,000,000","3,800,000,000","3,736,000,000","4,610,000,000","5,227,000,000","5,015,000,000","4,301,000,000","4,269,000,000","4,475,000,000","3,745,000,000","5,077,000,000","3,421,000,000","4,090,000,000","4,078,000,000","4,397,000,000","3,931,000,000","3,932,000,000","3,952,000,000","3,207,000,000","3,387,000,000","4,374,000,000","3,731,000,000","3,766,000,000","3,185,000,000","3,519,000,000","3,094,000,000","3,039,000,000","2,722,000,000","2,951,000,000","3,075,000,000","3,204,000,000","3,417,000,000","3,128,000,000","3,369,000,000","3,795,000,000","3,001,000,000","2,589,000,000","3,860,000,000","3,414,000,000","3,670,000,000","3,464,000,000","2,182,000,000","2,437,000,000","2,411,000,000","1,953,000,000","2,031,000,000","1,819,000,000","1,723,000,000","2,034,000,000","1,941,000,000","2,166,000,000","2,042,000,000","3,023,000,000","3,148,000,000","1,462,000,000","1,583,000,000","1,370,000,000","1,752,000,000","1,380,000,000","1,239,000,000","2,196,000,000","1,869,000,000","845,000,000","618,000,000","2,448,000,000","663,000,000","1,200,000,000","842,000,000","690,000,000","860,000,000","992,000,000","414,000,000","851,000,000","790,000,000","1,194,000,000","127,000,000","853,000,000","597,000,000","887,000,000","317,000,000","528,000,000","1,140,000,000","707,000,000","278,000,000","357,000,000","281,000,000","997,000,000","1,076,500,000","956,700,000","882,300,000","1,137,600,000","186,900,000","707,000,000","673,600,000","685,100,000","363,000,000","185,700,000","420,200,000","733,200,000","764,800,000","679,500,000","694,300,000","630,700,000","886,100,000","760,100,000","790,400,000","784,000,000","819,800,000","1,217,200,000","443,500,000","400,300,000","380,800,000",,,,
			CashAndCashEquivalents,"17,068,000,000","17,914,000,000","23,115,000,000","14,339,000,000","6,833,000,000","5,418,000,000","6,728,000,000","10,108,000,000","4,455,000,000","4,150,000,000","4,326,000,000","4,179,000,000","4,677,000,000","4,017,000,000","4,336,000,000","3,800,000,000","3,736,000,000","4,610,000,000","5,227,000,000","5,015,000,000","4,301,000,000","4,269,000,000","4,475,000,000","3,745,000,000","5,077,000,000","3,421,000,000","4,090,000,000","4,078,000,000","4,397,000,000","3,931,000,000","3,932,000,000","3,952,000,000","3,207,000,000","3,387,000,000","4,374,000,000","3,731,000,000","3,766,000,000","3,185,000,000","3,519,000,000","3,094,000,000","3,039,000,000","2,722,000,000","2,951,000,000","3,075,000,000","3,204,000,000","3,417,000,000","3,128,000,000","3,369,000,000","3,795,000,000","3,001,000,000","2,589,000,000","3,860,000,000","3,414,000,000","3,670,000,000","3,464,000,000","2,182,000,000","2,437,000,000","2,411,000,000","1,953,000,000","2,031,000,000","1,819,000,000","1,723,000,000","2,034,000,000","1,941,000,000","2,166,000,000","2,042,000,000","3,023,000,000","3,148,000,000","1,462,000,000","1,583,000,000","1,370,000,000","1,752,000,000","1,380,000,000","1,239,000,000","2,196,000,000","1,869,000,000","845,000,000","618,000,000","2,448,000,000","663,000,000","1,200,000,000","842,000,000","690,000,000","860,000,000","992,000,000","414,000,000","851,000,000","790,000,000","1,194,000,000","127,000,000","853,000,000","597,000,000","887,000,000","317,000,000","528,000,000","1,140,000,000","707,000,000","278,000,000","357,000,000","281,000,000","997,000,000","1,076,500,000","956,700,000","882,300,000","1,137,600,000","186,900,000","707,000,000","673,600,000","685,100,000","363,000,000","185,700,000","420,200,000","733,200,000","764,800,000","679,500,000","694,300,000","630,700,000","886,100,000","760,100,000","790,400,000","784,000,000","819,800,000","1,217,200,000","443,500,000","400,300,000","380,800,000",,,,
		Receivables,"14,051,000,000","12,708,000,000","12,622,000,000","14,532,000,000","17,100,000,000","15,481,000,000","15,673,000,000","14,593,000,000","10,123,000,000","9,334,000,000","10,071,000,000","9,678,000,000","9,886,000,000","8,633,000,000","9,636,000,000","9,293,000,000","9,878,000,000","9,065,000,000","8,958,000,000","8,874,000,000","10,298,000,000","8,019,000,000","8,012,000,000","8,161,000,000","8,591,000,000","7,822,000,000","7,543,000,000","7,588,000,000","8,013,000,000","6,967,000,000","6,568,000,000","7,154,000,000","7,315,000,000","6,540,000,000","5,951,000,000","6,283,000,000","6,787,000,000","6,182,000,000","6,212,000,000","6,075,000,000","7,028,000,000","5,784,000,000","5,744,000,000","5,478,000,000","5,972,000,000","4,854,000,000","4,944,000,000","4,939,000,000","6,106,000,000","5,373,000,000","5,669,000,000","5,595,000,000","6,994,000,000","5,032,000,000","5,139,000,000","4,949,000,000","6,313,000,000","4,707,000,000","4,743,000,000","4,727,000,000","5,265,000,000","4,585,000,000","4,870,000,000","5,354,000,000","5,334,000,000","4,558,000,000","4,529,000,000","4,612,000,000","5,670,000,000","4,238,000,000","4,171,000,000","4,382,000,000","4,765,000,000","4,049,000,000","3,637,000,000","4,006,000,000","4,606,000,000","3,343,000,000","3,683,000,000","3,974,000,000","4,381,000,000","3,599,000,000","3,800,000,000","3,979,000,000","4,406,000,000","3,633,000,000","3,319,000,000","4,036,000,000","4,242,000,000","3,999,000,000","3,694,000,000","3,871,000,000","4,600,000,000","3,726,000,000","3,544,000,000","3,638,000,000","4,131,000,000","3,343,000,000","3,029,000,000","3,309,000,000","2,416,000,000","1,792,800,000","1,449,900,000","1,839,100,000","2,073,700,000","1,670,500,000","1,436,000,000","1,590,000,000","1,782,700,000","1,390,300,000","1,195,500,000","1,506,900,000","1,851,500,000","1,298,900,000","1,459,900,000","1,181,200,000","1,459,400,000","1,128,200,000","1,114,900,000","961,500,000","1,124,200,000","851,500,000","803,700,000","730,200,000","944,200,000","908,500,000",,,,
			AccountsReceivable,"14,051,000,000","11,299,000,000","12,622,000,000","14,532,000,000","17,100,000,000","12,882,000,000","15,938,000,000","14,593,000,000","10,123,000,000","8,268,000,000","10,071,000,000","9,678,000,000","9,886,000,000","8,013,000,000","9,636,000,000","9,293,000,000","9,878,000,000","8,458,000,000","8,958,000,000","8,874,000,000","10,298,000,000","7,613,000,000","8,012,000,000","8,161,000,000","8,591,000,000","7,428,000,000","7,543,000,000","7,588,000,000","8,013,000,000","6,694,000,000","6,568,000,000","7,154,000,000","7,315,000,000","6,313,000,000",,,,"5,947,000,000",,,,,,,,"4,854,000,000",,,"6,106,000,000","5,373,000,000","5,669,000,000","5,595,000,000","6,994,000,000","5,032,000,000","5,139,000,000","4,949,000,000","6,313,000,000","4,707,000,000","4,743,000,000","4,727,000,000","5,265,000,000","4,585,000,000","4,870,000,000","5,354,000,000","5,334,000,000","4,255,000,000","4,529,000,000","4,612,000,000","5,670,000,000","4,018,000,000","4,171,000,000","4,382,000,000","4,765,000,000","3,960,000,000","3,637,000,000","4,006,000,000","4,606,000,000","3,144,000,000","3,683,000,000","3,974,000,000","4,381,000,000","3,210,000,000","3,800,000,000","3,979,000,000","4,406,000,000","3,633,000,000","3,319,000,000","4,036,000,000","4,242,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,"1,835,000,000",,,,"2,894,000,000",,,,"1,258,000,000",,,,"807,000,000",,,,"760,000,000",,,,"563,000,000",,,,"548,000,000",,,,"428,000,000",,,,"388,000,000",,,,"496,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"303,000,000",,,,"220,000,000",,,,"89,000,000",,,,"199,000,000",,,,"389,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			ReceivablesAdjustmentsAllowances,,"-426,000,000",,,,"-295,000,000","-265,000,000",,,"-192,000,000",,,,"-187,000,000",,,,"-153,000,000",,,,"-157,000,000",,,,"-154,000,000",,,,"-155,000,000",,,,"-161,000,000",,,,"-261,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"1,480,000,000","1,583,000,000","1,559,000,000","1,531,000,000","1,571,000,000","1,649,000,000","1,516,000,000","1,445,000,000","1,357,000,000","1,392,000,000","1,322,000,000","1,301,000,000","1,307,000,000","1,373,000,000","1,300,000,000","1,304,000,000","1,299,000,000","1,390,000,000","1,354,000,000","1,352,000,000","1,434,000,000","1,571,000,000","1,513,000,000","1,432,000,000","1,476,000,000","1,574,000,000","1,425,000,000","1,343,000,000","1,380,000,000","1,487,000,000","1,465,000,000","1,403,000,000","1,440,000,000","1,537,000,000","1,485,000,000","1,503,000,000","1,523,000,000","1,595,000,000","1,542,000,000","1,453,000,000","1,416,000,000","1,442,000,000","1,322,000,000","1,225,000,000","1,196,000,000","1,271,000,000","1,229,000,000","1,233,000,000","1,174,000,000","1,124,000,000","992,000,000","841,000,000","731,000,000","641,000,000","608,000,000","622,000,000","670,000,000","694,000,000","641,000,000","643,000,000","611,000,000","626,000,000","611,000,000","665,000,000","658,000,000","775,000,000","699,000,000","742,000,000","660,000,000","703,000,000","622,000,000","629,000,000","631,000,000","697,000,000","656,000,000","663,000,000","654,000,000","671,000,000","595,000,000","578,000,000","567,000,000","702,000,000","654,000,000","727,000,000","725,000,000","796,000,000","818,000,000","850,000,000","836,000,000","899,000,000","920,000,000","935,000,000","907,000,000","942,000,000","908,000,000","906,000,000","808,000,000","951,000,000","854,000,000","878,000,000","784,000,000","824,000,000","727,900,000","624,900,000","598,200,000","668,300,000","593,000,000","502,600,000","473,600,000","608,900,000","463,600,000","419,600,000","403,600,000","462,800,000","392,400,000","388,600,000","306,300,000","311,600,000","313,400,000","279,400,000","258,400,000","269,200,000","271,000,000","230,700,000","228,100,000","224,300,000",,,,
		PrepaidAssets,"1,423,000,000","2,171,000,000","3,135,000,000","1,869,000,000","1,334,000,000","4,597,000,000","4,526,000,000","5,408,000,000","824,000,000","1,790,000,000","1,241,000,000","1,114,000,000","846,000,000","1,723,000,000","1,214,000,000","1,133,000,000","821,000,000","1,657,000,000","1,231,000,000","977,000,000","811,000,000","1,639,000,000","1,006,000,000","814,000,000","712,000,000","1,486,000,000","1,095,000,000","937,000,000","846,000,000","1,077,000,000","655,000,000","905,000,000","864,000,000","469,000,000",,,,"449,000,000",,,,"446,000,000",,,,"464,000,000",,,,"478,000,000",,,,"446,000,000",,,,,,,,,,,,"512,000,000",,,,"484,000,000",,,,"492,000,000",,,,"444,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
